nom,format,episodes,studio,annee,note,popularite,rang,tags,lien,periode
Is the Order a Rabbit? Bloom,TV,12,Encourage Films,2020,3.848,601,1632,comedy;seinen;slice of life;cafe;coworkers;iyashikei;rabbits;work life;based on a 4-koma manga;based on a manga,https://www.anime-planet.com/anime/is-the-order-a-rabbit-bloom,2017-2023
My Teen Romantic Comedy SNAFU OVA,OVA,1,Brain's Base,2013,3.847,7420,1633,comedy;seinen;school club;school life;based on a light novel,https://www.anime-planet.com/anime/my-teen-romantic-comedy-snafu-ova,2012-2016
Uta no Prince-sama: Maji Love 2000% Special,DVD Special,1,A-1 Pictures,2013,3.847,1588,1634,idols,https://www.anime-planet.com/anime/uta-no-prince-sama-maji-love-2000-special,2012-2016
Ranma 1/2,TV,161,Studio DEEN,1989,3.847,17514,1635,comedy;harem;romance;shounen;animal transformation;arranged marriage;cohabitation;curse;gender bender;martial arts;romantic comedy;tsundere;based on a manga,https://www.anime-planet.com/anime/ranma-12,1907-2001
Is this a Zombie?,TV,12,Studio DEEN,2011,3.847,28241,1636,comedy;ecchi;fantasy;magical girl;contemporary fantasy;crossdressing;henshin heroes;magic;panty shots;parody;school life;urban fantasy;zombies;based on a light novel,https://www.anime-planet.com/anime/is-this-a-zombie,2002-2011
Macross Frontier Deculture Edition,TV Special,1,SATELIGHT,2007,3.847,825,1637,sci fi;aliens;idols,https://www.anime-planet.com/anime/macross-frontier-deculture-edition,2002-2011
The Eccentric Family,TV,13,P.A. WORKS,2013,3.847,4113,1638,comedy;drama;fantasy;slice of life;animal transformation;contemporary fantasy;family life;japanese mythology;non-human protagonists;urban fantasy;youkai;based on a novel,https://www.anime-planet.com/anime/the-eccentric-family,2012-2016
Oreimo Specials,DVD Special,4,AIC Build,2011,3.847,8351,1639,comedy;otaku culture;siblings;based on a light novel,https://www.anime-planet.com/anime/oreimo-specials,2002-2011
League of Legends: Kin of the Stained Blade,Web,1,"Haoliners Animation League, Paper Plane",2020,3.847,255,1640,action;drama;fantasy;chinese animation;shorts;swordplay;based on a video game;cg animation,https://www.anime-planet.com/anime/league-of-legends-kin-of-the-stained-blade,2017-2023
Angel Beats! Hell's Kitchen,DVD Special,1,P.A. WORKS,2015,3.847,3359,1641,action;comedy;afterlife;supernatural;original work,https://www.anime-planet.com/anime/angel-beats-hells-kitchen,2012-2016
Chibi Maruko-chan: Watashi no Suki na Uta,Movie,1,Nippon Animation,1992,3.847,36,1642,drama;shoujo;art;music,https://www.anime-planet.com/anime/chibi-maruko-chan-watashi-no-suki-na-uta,1907-2001
Arifureta: From Commonplace to World's Strongest,TV,13,"asread, WHITE FOX",2019,3.847,18010,1643,action;adventure;fantasy;harem;seinen;dark fantasy;dungeon;guns;isekai;magic;overpowered main characters;person in a strange world;rpg;summoned into another world;based on a light novel,https://www.anime-planet.com/anime/arifureta-from-commonplace-to-worlds-strongest,2017-2023
Angel Beats! Another Epilogue,DVD Special,1,P.A. WORKS,2010,3.847,14487,1644,drama;afterlife;school life;supernatural;original work,https://www.anime-planet.com/anime/angel-beats-another-epilogue,2002-2011
Hanasakeru Seishounen,TV,39,Pierrot,2009,3.847,5054,1645,drama;reverse harem;romance;shoujo;political;based on a manga,https://www.anime-planet.com/anime/hanasakeru-seishounen,2002-2011
Jian Wang 3: Xia Gan Yi Dan Shen Jianxin II,Web,12,Shenying Animation,2019,3.846,13,1646,action;adventure;ancient china;chinese animation;historical;martial arts;based on a video game;cg animation,https://www.anime-planet.com/anime/jian-wang-3-xia-gan-yi-dan-shen-jianxin-ii,2017-2023
Macross Zero,OVA,5,SATELIGHT,2002,3.846,3680,1647,action;mecha;romance;sci fi;aviation;island;military;real robot;transforming mecha;original work,https://www.anime-planet.com/anime/macross-zero,2002-2011
Ajin Movie 1: Shoudou,Movie,1,POLYGON PICTURES,2015,3.846,1455,1648,horror;seinen;human experimentation;recap;supernatural;based on a manga;cg animation,https://www.anime-planet.com/anime/ajin-movie-1-shoudou,2012-2016
Tropical-Rouge! Pretty Cure,TV,46,Toei Animation,2021,3.846,123,1649,fantasy;magical girl;family friendly;henshin heroes;magic;mermaids;sentai;superheroes;tokusatsu,https://www.anime-planet.com/anime/tropical-rouge-pretty-cure,2017-2023
Aoki Hagane no Arpeggio: Ars Nova Cadenza,Movie,1,SANZIGEN,2015,3.846,651,1650,action;sci fi;seinen;ocean;ship;based on a manga,https://www.anime-planet.com/anime/aoki-hagane-no-arpeggio-ars-nova-movie-2,2012-2016
The Garden of Sinners: Recalled Out Summer - Extra Chorus,Movie,1,ufotable,2013,3.846,1574,1651,drama;based on a light novel,https://www.anime-planet.com/anime/the-garden-of-sinners-recalled-out-summer-extra-chorus,2012-2016
Crest of the Stars,TV,13,Sunrise,1999,3.845,4473,1652,sci fi;nobility;outer space;space opera;war;based on a novel,https://www.anime-planet.com/anime/crest-of-the-stars,1907-2001
Maria Watches Over Us Season 2,TV,13,Studio DEEN,2004,3.845,1988,1653,drama;gl;shoujo-ai;lgbt themes;school life;based on a light novel,https://www.anime-planet.com/anime/maria-watches-over-us-season-2,2002-2011
DOTA: Dragon's Blood 2nd Season,Web,8,Production Reve,2022,3.845,100,1654,action;fantasy;korean animation;based on a video game,https://www.anime-planet.com/anime/dota-dragons-blood-2nd-season,2017-2023
When They Cry: Rei,OVA,5,Studio DEEN,2009,3.845,10941,1655,horror;psychological;based on a visual novel,https://www.anime-planet.com/anime/when-they-cry-rei,2002-2011
Hetalia: The World Twinkle Specials,DVD Special,3,Studio DEEN,2015,3.845,549,1656,comedy;anthropomorphic;chibi;gag;historical;parody;political;satire;based on a manga,https://www.anime-planet.com/anime/hetalia-the-world-twinkle-specials,2012-2016
Prince of Tennis: Best Games!!,OVA,2,M.S.C.,2018,3.845,29,1657,shounen;sports;tennis;based on a manga,https://www.anime-planet.com/anime/prince-of-tennis-best-games,2017-2023
Kiratto Pri-chan 2nd Season,TV,51,Tatsunoko Production,2019,3.845,45,1658,family friendly;fashion;idols;music;showbiz;based on a video game,https://www.anime-planet.com/anime/kiratto-pri-chan-2nd-season,2017-2023
