nom,format,episodes,studio,annee,note,popularite,rang,tags,lien,periode
Nae Ireumeun Dokgotak,Movie,1,,1984,3.466,12,5784,sports;baseball;korean animation,https://www.anime-planet.com/anime/nae-ireumeun-dokgotak,1907-2001
Funny Animal Bus,TV,12,TMS Entertainment,2017,3.466,12,5784,family friendly;short episodes,https://www.anime-planet.com/anime/funny-animal-bus,2017-2023
Kinnikuman no Koutsuu Anzen,OVA,1,,1986,3.466,12,5784,comedy;educational;hand to hand combat;wrestling,https://www.anime-planet.com/anime/kinnikuman-no-koutsuu-anzen,1907-2001
Super Robot Wars: Original Generation,OVA,3,Brain's Base,2005,3.466,455,5789,action;mecha;sci fi;military;based on a video game,https://www.anime-planet.com/anime/super-robot-wars-original-generation,2002-2011
Hi no Tori: Houou Hen,Movie,1,"MADHOUSE, Tezuka Productions",1986,3.466,188,5790,fantasy;feudal japan;based on a manga,https://www.anime-planet.com/anime/hi-no-tori-houou-hen,1907-2001
Fuuka,TV,12,diomedea,2017,3.466,5910,5791,drama;ecchi;romance;shounen;music;work life;based on a manga,https://www.anime-planet.com/anime/fuuka,2017-2023
The Missing 8,Web,2,WIT Studio,2021,3.466,25,5792,sci fi;short episodes,https://www.anime-planet.com/anime/the-missing-8,2017-2023
Cautious Hero: The Hero Is Overpowered but Overly Cautious Recap,TV Special,1,WHITE FOX,2019,3.466,1628,5793,action;adventure;comedy;fantasy;demons;gods;isekai;magic;overpowered main characters;person in a strange world;recap;rpg;summoned into another world;based on a light novel,https://www.anime-planet.com/anime/cautious-hero-the-hero-is-overpowered-but-overly-cautious-recap,2017-2023
Dai Yamato Zero-gou,OVA,5,JCF,2004,3.466,25,5794,sci fi;leijiverse;military;outer space;original work,https://www.anime-planet.com/anime/dai-yamato-zero-gou,2002-2011
Dragon Ball Z Movie 3: The Tree of Might,Movie,1,Toei Animation,1990,3.466,15875,5795,action;shounen;aliens;hand to hand combat;martial arts;superpowers;based on a manga,https://www.anime-planet.com/anime/dragon-ball-z-movie-3-the-tree-of-might,1907-2001
Puchimas! Petit [email protected] OVA,OVA,2,,2013,3.466,142,5796,chibi;idols;short episodes;based on a 4-koma manga;based on a manga,https://www.anime-planet.com/anime/puchimas-petit-idolmaster-ova,2012-2016
The Ryuo's Work is Never Done!,TV,12,Project No.9,2018,3.466,2912,5797,comedy;seinen;slice of life;apprenticeship;board games;based on a light novel,https://www.anime-planet.com/anime/the-ryuos-work-is-never-done,2017-2023
Mothy: Last Revolver,Music Video,1,,2010,3.466,36,5798,vocaloid,https://www.anime-planet.com/anime/mothy-last-revolver,2002-2011
Fushigi no Yappo Shima: Pukipuki to Poi,TV,25,,2012,3.466,10,5799,family friendly;island;short episodes;stop motion animation,https://www.anime-planet.com/anime/fushigi-no-yappo-shima-pukipuki-to-poi,2012-2016
Akuei to Gacchinpo Tenkomori: Maboroshi no Omake Episode,DVD Special,1,,2005,3.466,10,5799,comedy,https://www.anime-planet.com/anime/akuei-to-gacchinpo-tenkomori-maboroshi-no-omake-episode,2002-2011
Deko Boko Friends,TV,61,,2002,3.466,10,5799,family friendly;short episodes,https://www.anime-planet.com/anime/deko-boko-friends,2002-2011
"Anoyo no Subete wa, Obake-gumi!",TV,13,,2020,3.466,10,5799,comedy;short episodes;supernatural;original work,https://www.anime-planet.com/anime/anoyo-no-subete-wa-obake-gumi,2017-2023
Eizou (Kage),Movie,1,,1987,3.466,10,5799,abstract;black and white;no dialogue;shorts,https://www.anime-planet.com/anime/eizou-kage,1907-2001
Dappisuru Tame ni Hitsuyou na Koto,Movie,1,,2014,3.466,10,5799,coming of age;school life;shorts,https://www.anime-planet.com/anime/dappisuru-tame-ni-hitsuyou-na-koto,2012-2016
Fuyuyasumi da. Zenin Shuugou!,OVA,1,,2023,3.466,11,5805,slice of life;educational,https://www.anime-planet.com/anime/fuyuyasumi-da-zenin-shuugou,2017-2023
Demon King Daimao Specials,DVD Special,6,Artland,2010,3.466,4243,5806,comedy;ecchi;magic;panty shots,https://www.anime-planet.com/anime/demon-king-daimao-specials,2002-2011
Fortune Arterial OVA,OVA,1,"feel., Zexcs",2011,3.466,2067,5807,comedy;harem;romance;based on an eroge;based on a visual novel,https://www.anime-planet.com/anime/fortune-arterial-ova,2002-2011
Dokonjou Gaeru,TV,103,TMS Entertainment,1972,3.466,39,5808,comedy;shounen;based on a manga,https://www.anime-planet.com/anime/dokonjou-gaeru,1907-2001
Fafner,TV,25,XEBEC,2004,3.466,3342,5809,action;mecha;sci fi;aliens;post-apocalyptic;psychological,https://www.anime-planet.com/anime/fafner,2002-2011
The Brave Command Dagwon: The Boy with Crystal Eyes,OVA,2,Sunrise,1997,3.466,25,5810,action;mecha;sci fi;combining mecha;super robot;original work,https://www.anime-planet.com/anime/the-brave-command-dagwon-the-boy-with-crystal-eyes,1907-2001
Concrete Revolutio: The Last Song,TV,11,Bones,2016,3.466,822,5811,action;superheroes;supernatural;superpowers;original work,https://www.anime-planet.com/anime/concrete-revolutio-the-last-song,2012-2016
Macross 7,TV,49,Ashi Productions,1994,3.465,2140,5812,mecha;romance;sci fi;aliens;idols;military;music;outer space;real robot;rock music;space opera;transforming mecha;original work,https://www.anime-planet.com/anime/macross-7,1907-2001
Tensai Bakavon: Yomigaeru Flanders no Inu,Movie,1,DLE,2015,3.465,11,5813,comedy,https://www.anime-planet.com/anime/tensai-bakavon-yomigaeru-flanders-no-inu,2012-2016
Sangokushi (1982),TV Special,1,,1982,3.465,11,5813,action;ancient china;historical;military;rebellions;romance of the three kingdoms;war;based on a novel,https://www.anime-planet.com/anime/sangokushi-1982,1907-2001
Wagahai wa Inu de Aru: Don Matsugorou no Seikatsu,TV Special,1,,1983,3.465,11,5813,slice of life;animal protagonists;dogs;non-human protagonists,https://www.anime-planet.com/anime/wagahai-wa-inu-de-aru-don-matsugorou-no-seikatsu,1907-2001
Spy Penguin,OVA,5,Next Media Animation,2012,3.465,11,5813,action;adventure;animal protagonists;birds;espionage;family friendly;non-human protagonists;penguins;short episodes;cg animation,https://www.anime-planet.com/anime/spy-penguin,2012-2016
Ancien to Mahou no Tablet: Mou Hitotsu no Hirune Hime,Other,2,Signal.MD,2017,3.465,96,5817,fantasy;original work,https://www.anime-planet.com/anime/ancien-to-mahou-no-tablet-mou-hitotsu-no-hirune-hime,2017-2023
Magic User's Club! OVA,OVA,6,Triangle Staff,1996,3.465,990,5818,comedy;ecchi;magic;school life;original work,https://www.anime-planet.com/anime/magic-users-club-ova,1907-2001
Horizon in the Middle of Nowhere,TV,13,Sunrise,2011,3.465,5999,5819,action;ecchi;sci fi;war;based on a light novel,https://www.anime-planet.com/anime/horizon-in-the-middle-of-nowhere,2002-2011
FLCL: Alternative,TV,6,"Production I.G, REVOROOT, NUT",2018,3.465,1347,5820,action;comedy;drama;sci fi;slice of life;coming of age;non-human protagonists;robots;original work,https://www.anime-planet.com/anime/flcl-alternative,2017-2023
Queen Millennia,TV,42,Toei Animation,1981,3.465,182,5821,sci fi;seinen;leijiverse;space opera;based on a manga,https://www.anime-planet.com/anime/queen-millennia,1907-2001
Shinkansen Henkei Robo Shinkalion The Animation,TV,76,OLM,2018,3.465,82,5822,action;mecha;sci fi;shounen;family friendly;trains,https://www.anime-planet.com/anime/shinkansen-henkei-robo-shinkalion-the-animation,2017-2023
The Detective Is Already Dead. Mini Anime,Web,5,,2021,3.465,38,5823,chibi;promotional;short episodes;based on a light novel,https://www.anime-planet.com/anime/the-detective-is-already-dead-mini-anime,2017-2023
Futari Gurashi,TV,36,Public and Basic,1998,3.465,38,5824,comedy;ecchi;romance;short episodes;based on a manga,https://www.anime-planet.com/anime/futari-gurashi,1907-2001
Pica-don,Movie,1,,1979,3.465,38,5825,drama;historical;shorts;world war 2,https://www.anime-planet.com/anime/pica-don,1907-2001
Glass no Usagi,Movie,1,Magic Bus,2005,3.465,95,5826,drama;autobiographies;coming of age;historical;war;world war 2;based on a novel,https://www.anime-planet.com/anime/glass-no-usagi,2002-2011
Mob Psycho Mini,DVD Special,6,Bones,2016,3.465,752,5827,comedy,https://www.anime-planet.com/anime/mob-psycho-mini,2012-2016
Chou Seimeitai Transformers Beast Wars Metals: Convoy Daihenshin!,Movie,1,,1999,3.465,20,5828,action;mecha;sci fi,https://www.anime-planet.com/anime/chou-seimeitai-transformers-beast-wars-metals-convoy-daihenshin,1907-2001
Akuma-kun: Youkoso Akuma Land e!!,Movie,1,Toei Animation,1990,3.465,20,5828,adventure;fantasy;shounen;demons;supernatural;based on a manga,https://www.anime-planet.com/anime/akuma-kun-youkoso-akuma-land-e,1907-2001
Mayoeru Otokonoko,OVA,1,Actas,2010,3.465,20,5830,comedy;crossdressing;promotional;school life;original work,https://www.anime-planet.com/anime/mayoeru-otokonoko,2002-2011
Lord of Vermilion III Special Anime Movie,Other,1,Seven Arcs,2015,3.465,20,5830,action;fantasy;monsters;based on a card game,https://www.anime-planet.com/anime/lord-of-vermilion-iii-special-anime-movie,2012-2016
HoneyWorks: Kotoba no Iranai Yakusoku,Music Video,1,,2015,3.465,66,5832,drama;rivalries;vocaloid,https://www.anime-planet.com/anime/honeyworks-kotoba-no-iranai-yakusoku,2012-2016
Street Fighter II V,TV,29,Group TAC,1995,3.465,2681,5833,action;hand to hand combat;martial arts;based on a video game,https://www.anime-planet.com/anime/street-fighter-ii-v,1907-2001
TwinBee Paradise,OVA,3,AIC,1999,3.465,23,5834,action;comedy;sci fi;based on a video game,https://www.anime-planet.com/anime/twinbee-paradise,1907-2001
Mikito-P: 39 Music,Music Video,1,,2016,3.465,37,5835,vocaloid,https://www.anime-planet.com/anime/mikito-p-39-music,2012-2016
Cells at Work! Specials,DVD Special,5,,2018,3.464,403,5836,comedy;shounen;anthropomorphic;chibi;non-human protagonists;parody;based on a manga,https://www.anime-planet.com/anime/cells-at-work-specials,2017-2023
Little Twins: Bokura no Natsu ga Tondeiku,Movie,1,,1992,3.464,10,5837,adventure;fantasy;family friendly,https://www.anime-planet.com/anime/little-twins-bokura-no-natsu-ga-tondeiku,1907-2001
Kaiketsu Zorori (1989),OVA,1,,1989,3.464,10,5837,adventure;comedy;animal protagonists;anthropomorphic;family friendly;non-human protagonists;based on a picture book,https://www.anime-planet.com/anime/kaiketsu-zorori-1989,1907-2001
Ling Yu,Web,10,Haoliners Animation League,2015,3.464,248,5839,fantasy;chinese animation;cultivation;short episodes;based on a web novel,https://www.anime-planet.com/anime/ling-yu,2012-2016
Kirepapa.,OVA,2,IMAGIN,2008,3.464,6038,5840,bl;comedy;romance;shounen-ai;age gap;lgbt themes;single parent;writers;based on a manga,https://www.anime-planet.com/anime/kirepapa,2002-2011
Hitoshizuku-P x Yama△: Shikiori no Hane,Music Video,1,,2014,3.464,61,5841,vocaloid,https://www.anime-planet.com/anime/hitoshizuku-p-x-yama-shikiori-no-hane,2012-2016
Rental Magica,TV,24,Zexcs,2007,3.464,5022,5842,fantasy;harem;inheritance;magic;based on a light novel,https://www.anime-planet.com/anime/rental-magica,2002-2011
Yi Shijie Zhongyao Pu,Web,40,Soyep,2020,3.464,47,5843,fantasy;chinese animation;short episodes;based on a manga;cg animation,https://www.anime-planet.com/anime/yi-shijie-zhongyao-pu,2017-2023
Neru: I~ya i~ya i~ya,Music Video,1,,2017,3.464,50,5844,vocaloid,https://www.anime-planet.com/anime/neru-iya-iya-iya,2017-2023
Manga de Wakaru! Fate/Grand Order,Web,1,A-1 Pictures,2018,3.464,300,5845,comedy;fantasy;chibi;based on a manga,https://www.anime-planet.com/anime/manga-de-wakaru-fate-grand-order,2017-2023
Pokemon Movie 3: Spell of the Unown,Movie,1,OLM,2000,3.464,18071,5846,fantasy;elemental powers;family friendly;monsters;based on a video game,https://www.anime-planet.com/anime/pokemon-movie-3-spell-of-the-unown,1907-2001
A Good Librarian Like a Good Shepherd,TV,12,"Felix Film, Hoods Entertainment",2014,3.464,3396,5847,harem;romance;library;school club;school life;based on an eroge;based on a visual novel,https://www.anime-planet.com/anime/a-good-librarian-like-a-good-shepherd,2012-2016
Qin Shi Mingyue: Luo Shengtang Xia,Web,1,Sparkly Key Animation Studio,2014,3.464,23,5848,action;ancient china;chinese animation;historical;wuxia;cg animation,https://www.anime-planet.com/anime/qin-shi-mingyue-luo-shengtang-xia,2012-2016
Ikkyuu-san,TV,296,Toei Animation,1975,3.464,63,5849,adventure;comedy;buddhism;historical;religion,https://www.anime-planet.com/anime/ikkyuu-san,1907-2001
Be Forever Yamato,Movie,1,,1980,3.464,173,5850,action;adventure;drama;sci fi;leijiverse;original work,https://www.anime-planet.com/anime/be-forever-yamato,1907-2001
"Hensuki: Are you willing to fall in love with a pervert, as long as she’s a cutie?",TV,12,Geek Toys,2019,3.464,4699,5851,comedy;ecchi;harem;romance;fetish;romantic comedy;school life;based on a light novel,https://www.anime-planet.com/anime/hensuki-are-you-willing-to-fall-in-love-with-a-pervert-as-long-as-shes-a-cutie,2017-2023
Dr. Slump,TV,74,Toei Animation,1997,3.463,623,5852,comedy;sci fi;shounen;slapstick;based on a manga,https://www.anime-planet.com/anime/dr-slump,1907-2001
Sora Amamiya: Watashi no Tenshi,Music Video,1,,2019,3.463,62,5853,slice of life;siblings;vocaloid,https://www.anime-planet.com/anime/sora-amamiya-watashi-no-tenshi,2017-2023
Mameshiba,Other,24,,2008,3.463,497,5854,comedy;animal protagonists;dogs;episodic;food and beverage;food protagonists;non-human protagonists;short episodes;original work,https://www.anime-planet.com/anime/mameshiba,2002-2011
Apache Yakyuugun,TV,26,Toei Animation,1971,3.463,21,5855,sports;baseball;school life;tournaments;based on a manga,https://www.anime-planet.com/anime/apache-yakyuugun,1907-2001
Robotan (1986),TV,33,,1986,3.463,21,5855,comedy;sci fi;family friendly;robots;based on a manga,https://www.anime-planet.com/anime/robotan-1986,1907-2001
Kamen Rider Den-O: Imagin Anime 2,DVD Special,12,,2008,3.463,21,5855,comedy;sci fi;chibi,https://www.anime-planet.com/anime/kamen-rider-den-o-imagin-anime-2,2002-2011
Popolocrois Monogatari,TV,25,"BEE TRAIN, Production I.G",1998,3.463,116,5858,adventure;fantasy,https://www.anime-planet.com/anime/popolocrois-monogatari,1907-2001
The Fate of Arad,Web,20,Dangun Pictures,2017,3.463,31,5859,action;adventure;fantasy;chinese animation;based on a video game,https://www.anime-planet.com/anime/the-fate-of-arad,2017-2023
Inazuma Eleven: Outer Code,Web,6,,2016,3.463,142,5860,sports;short episodes;soccer,https://www.anime-planet.com/anime/inazuma-eleven-outer-code,2012-2016
Dagashi Kashi 2,TV,12,Tezuka Productions,2018,3.463,2666,5861,comedy;shounen;slice of life;countryside;food and beverage;short episodes;based on a manga,https://www.anime-planet.com/anime/dagashi-kashi-2,2017-2023
Overlord II: Play Play Pleiades,Web,13,Studio Puyukai,2018,3.463,1146,5862,comedy;chibi;parody;rpg;short episodes;virtual reality;work life;based on a light novel,https://www.anime-planet.com/anime/overlord-ii-play-play-pleiades,2017-2023
Kaibutsu-kun (1980),TV,94,Shin-Ei Animation,1980,3.463,47,5863,adventure;comedy;fantasy;horror;shounen;parody;based on a manga,https://www.anime-planet.com/anime/kaibutsu-kun-1980,1907-2001
Kakushigoto Recap,TV Special,1,Ajia-do,2020,3.463,47,5864,drama;shounen;slice of life;childcare;manga industry;recap;single parent;based on a manga,https://www.anime-planet.com/anime/kakushigoto-recap,2017-2023
Cluster Edge Specials,DVD Special,3,Sunrise,2006,3.463,20,5865,sci fi;original work,https://www.anime-planet.com/anime/cluster-edge-specials,2002-2011
Tansa Quest! (2015),Web,1,A-1 Pictures,2015,3.463,20,5865,promotional;school life;based on a mobile game,https://www.anime-planet.com/anime/tansa-quest-2015,2012-2016
Fuusen Shoujo Temple-chan,TV,26,Tatsunoko Production,1977,3.462,20,5867,adventure;original work,https://www.anime-planet.com/anime/fuusen-shoujo-temple-chan,1907-2001
EGOIST: Sakase ya Sakase,Music Video,1,WIT Studio,2019,3.462,20,5868,action;drama;fantasy;horror;apocalypse;dark fantasy;guns;zombies,https://www.anime-planet.com/anime/egoist-sakase-ya-sakase,2017-2023
Miloha x The Prince of Tennis,Other,1,,2020,3.462,30,5869,commercials;food and beverage;parody;promotional,https://www.anime-planet.com/anime/miloha-x-the-prince-of-tennis,2017-2023
Infinity Nado 3,TV,40,Alpha Group,2015,3.462,33,5870,chinese animation;proxy battles;tournaments,https://www.anime-planet.com/anime/infinity-nado-3,2012-2016
Space Adventure Cobra Movie,Movie,1,TMS Entertainment,1982,3.462,576,5872,action;adventure;ecchi;sci fi;shounen;aliens;cyborgs;space pirates;based on a manga,https://www.anime-planet.com/anime/space-adventure-cobra-movie,1907-2001
Cassette Girl,Web,1,Khara,2015,3.462,509,5873,action;ecchi;mecha;sci fi;japan animator's exhibition;shorts;cg animation,https://www.anime-planet.com/anime/cassette-girl,2012-2016
You Watanabe: Totsuzen GIRL,Music Video,1,,2021,3.462,33,5874,idols,https://www.anime-planet.com/anime/you-watanabe-totsuzen-girl,2017-2023
HoneyWorks: Kessen Spirit,Music Video,1,,2020,3.462,46,5875,sports;vocaloid,https://www.anime-planet.com/anime/honeyworks-kessen-spirit,2017-2023
Cyber City Oedo 808,OVA,3,MADHOUSE,1990,3.462,1479,5876,action;sci fi;cyberpunk;high stakes games;noir;original work,https://www.anime-planet.com/anime/cyber-city-oedo-808,1907-2001
Lagrange: The Flower of Rin-ne,TV,12,XEBEC,2012,3.462,3266,5877,action;comedy;drama;ecchi;mecha;sci fi;aliens;original work,https://www.anime-planet.com/anime/lagrange-the-flower-of-rin-ne,2012-2016
Appleseed,OVA,1,GAINAX,1988,3.462,5831,5878,action;sci fi;seinen;cyberpunk;cyborgs;police;based on a manga,https://www.anime-planet.com/anime/appleseed,1907-2001
Jungle Kurobee,TV,31,,1973,3.462,20,5879,comedy;based on a manga,https://www.anime-planet.com/anime/jungle-kurobee,1907-2001
Dragon Quest X: Boukensha-tachi no Kiseki,Web,3,,2017,3.462,19,5880,episodic;short episodes;based on a video game,https://www.anime-planet.com/anime/dragon-quest-x-boukensha-tachi-no-kiseki,2017-2023
Plunderer,TV,24,Geek Toys,2020,3.462,6858,5881,action;adventure;ecchi;fantasy;shounen;based on a manga,https://www.anime-planet.com/anime/plunderer,2017-2023
Sore Ike! Anpanman: Anpanman to Happy Otanjoubi,Movie,1,,1995,3.461,20,5882,comedy;fantasy;anthropomorphic;family friendly;food protagonists;non-human protagonists;superpowers,https://www.anime-planet.com/anime/sore-ike-anpanman-anpanman-to-happy-otanjoubi,1907-2001
Absolute Duo,TV,12,8-Bit,2015,3.461,17686,5883,action;ecchi;fantasy;harem;romance;magic school;school life;based on a light novel,https://www.anime-planet.com/anime/absolute-duo,2012-2016
Nine: Original,Movie,1,Group TAC,1983,3.461,19,5884,shounen;sports;baseball;based on a manga,https://www.anime-planet.com/anime/nine-original,1907-2001
Saekano: How to Raise a Boring Girlfriend: Fan Service of Love and Youth,TV Special,1,A-1 Pictures,2015,3.461,3930,5885,comedy;ecchi;harem;noitamina;based on a light novel,https://www.anime-planet.com/anime/saekano-how-to-raise-a-boring-girlfriend-fan-service-of-love-and-youth,2012-2016
Pokemon Movie 4: Pokemon 4Ever,Movie,1,OLM,2001,3.461,14568,5886,adventure;fantasy;shounen;elemental powers;family friendly;forest;monsters;based on a video game,https://www.anime-planet.com/anime/pokemon-4ever,1907-2001
Tokyo Magnitude 8.0 Recap,TV Special,1,"Bones, Kinema Citrus",2009,3.461,159,5887,drama;earthquake;melancholy;natural disaster;recap;siblings;survival;original work,https://www.anime-planet.com/anime/tokyo-magnitude-80-recap,2002-2011
Futaridaka,TV,36,,1984,3.461,18,5888,sports;motorcycles;racing;based on a manga,https://www.anime-planet.com/anime/futaridaka,1907-2001
KUROKO,Web,1,,2012,3.461,18,5888,comedy;slice of life;shorts,https://www.anime-planet.com/anime/kuroko,2012-2016
To Heart 2 AD Next,OVA,2,Chaos Project,2010,3.461,299,5890,harem;romance;library;based on an eroge;based on a visual novel,https://www.anime-planet.com/anime/to-heart-2-ad-next,2002-2011
Cardcaptor Sakura: Clear Card-hen Recap,TV Special,1,MADHOUSE,2018,3.461,184,5891,fantasy;magical girl;shoujo;contemporary fantasy;henshin heroes;magic;recap;urban fantasy;based on a manga,https://www.anime-planet.com/anime/cardcaptor-sakura-clear-card-hen-recap,2017-2023
Andersen Monogatari TV,TV,52,Mushi Production,1971,3.461,18,5892,fantasy;family friendly;based on a novel,https://www.anime-planet.com/anime/andersen-monogatari-tv,1907-2001
Hyouga Senshi Gaislugger,TV,20,Toei Animation,1977,3.461,18,5892,action;mecha;sci fi,https://www.anime-planet.com/anime/hyouga-senshi-gaislugger,1907-2001
mothy: Akutoku no Judgment,Music Video,1,,2012,3.461,69,5894,vocaloid,https://www.anime-planet.com/anime/mothy-akutoku-no-judgment,2012-2016
Wan Jie Chun Qiu,Web,56,Ruo Hong Culture,2020,3.461,56,5895,fantasy;chinese animation;short episodes;cg animation,https://www.anime-planet.com/anime/wan-jie-chun-qiu,2017-2023
Be-Bop High School,OVA,7,Toei Animation,1990,3.461,129,5896,comedy;seinen;delinquents;hand to hand combat;school life;based on a manga,https://www.anime-planet.com/anime/be-bop,1907-2001
Aria the Scarlet Ammo: The Butei Come and Train at a Hot Spring,DVD Special,1,J.C.Staff,2011,3.461,3492,5897,seinen;slice of life;based on a light novel,https://www.anime-planet.com/anime/aria-the-scarlet-ammo-the-butei-come-and-train-at-a-hot-spring,2002-2011
Machikado no Meruhen,OVA,1,Kitty Film Mitaka Studio,1984,3.46,30,5898,romance;music,https://www.anime-planet.com/anime/machikado-no-meruhen,1907-2001
Ichigo 100% OVA,OVA,4,"MADHOUSE, Nomad, Office Take Off, DR TOKYO",2005,3.46,3230,5899,comedy;ecchi;harem;romance;shounen;panty shots;based on a manga,https://www.anime-planet.com/anime/ichigo-100-ova,2002-2011
Hiroya Ozaki: Glory Days,Music Video,1,,2017,3.46,80,5900,action;mecha;sci fi,https://www.anime-planet.com/anime/hiroya-ozaki-glory-days,2017-2023
ŹOOĻ: Bang!Bang!Bang!,Music Video,1,,2019,3.46,105,5901,dancing;idols,https://www.anime-planet.com/anime/zool-bang-bang-bang,2017-2023
Anne no Nikki,Movie,1,MADHOUSE,1995,3.46,355,5902,drama;autobiographies;coming of age;europe;historical;war;world war 2;based on a novel,https://www.anime-planet.com/anime/anne-no-nikki,1907-2001
Battle Break,Web,1,OLM,2011,3.46,17,5903,family friendly;proxy battles,https://www.anime-planet.com/anime/battle-break,2002-2011
Shiratori Reiko de Gozaimasu!,OVA,1,Ajia-do,1990,3.46,17,5905,comedy;romance;based on a manga,https://www.anime-planet.com/anime/shiratori-reiko-de-gozaimasu,1907-2001
Ulysses 31,TV,26,TMS Entertainment,1981,3.46,453,5906,adventure;sci fi;greek mythology;outer space;space opera,https://www.anime-planet.com/anime/ulysses-31,1907-2001
Hyper Police,TV,25,Pierrot,1997,3.46,900,5907,action;comedy;sci fi;shounen;animal characteristics;bounty hunters;non-human protagonists;police;post-apocalyptic;based on a manga,https://www.anime-planet.com/anime/hyper-police,1907-2001
Hot Minute: Gudetama,Other,1,,2015,3.46,104,5908,comedy;anthropomorphic;family friendly;food protagonists;non-human protagonists;sanrio characters;shorts,https://www.anime-planet.com/anime/hot-minute-gudetama,2012-2016
Kuro no Sumika: Chronus,Movie,1,Studio 4°C,2014,3.46,937,5909,drama;anime tamago;shinigami;shorts;supernatural;original work,https://www.anime-planet.com/anime/kuro-no-sumika-chronus,2012-2016
Please Save My Earth,OVA,6,Production I.G,1993,3.46,1011,5910,drama;sci fi;shoujo;age gap;aliens;amnesia;fated lovers;mind games;non-human protagonists;overpowered main characters;psychic powers;reincarnation;revenge;superpowers;based on a manga,https://www.anime-planet.com/anime/please-save-my-earth,1907-2001
Altered Carbon: Resleeved,Web,1,anima,2020,3.46,599,5911,action;sci fi;gangs;yakuza;based on a novel;cg animation,https://www.anime-planet.com/anime/altered-carbon-resleeved,2017-2023
Lovely Movie: Lovely Muuuuuuuco! Specials,DVD Special,3,Doga Kobo,2014,3.46,29,5912,comedy;seinen;slice of life;animal protagonists;countryside;dogs;non-human protagonists;pets;based on a manga,https://www.anime-planet.com/anime/lovely-movie-lovely-muuuuuuuco-specials,2012-2016
Kyousougiga (2012),Web,5,Toei Animation,2012,3.459,1125,5913,action;comedy;fantasy;episodic;supernatural;original work,https://www.anime-planet.com/anime/kyousougiga-2012,2012-2016
Gold Lightan: Golden Warrior,TV,52,Tatsunoko Production,1981,3.459,41,5914,action;mecha;sci fi;original work,https://www.anime-planet.com/anime/gold-lightan-golden-warrior,1907-2001
Cynical Hysterie Hour: Utakata no Uta,Movie,1,,1989,3.459,16,5915,comedy;shorts;based on a manga,https://www.anime-planet.com/anime/cynical-hysterie-hour-utakata-no-uta,1907-2001
Nui Nui Hinobori San Kyoudai,Web,4,DLE,2017,3.459,16,5915,comedy;chibi;short episodes;work life,https://www.anime-planet.com/anime/nui-nui-hinobori-san-kyoudai,2017-2023
Aikatsu! Planet,TV,25,BN Pictures,2021,3.459,77,5917,idols;music;music school;school life;showbiz;based on a card game,https://www.anime-planet.com/anime/aikatsu-planet,2017-2023
Bikkuriman 2000,TV,68,Studio Comet,1999,3.459,16,5918,action;adventure;fantasy;angels;chibi;demons;non-human protagonists,https://www.anime-planet.com/anime/bikkuriman-2000,1907-2001
7 Seeds,Web,12,GONZO,2019,3.459,3854,5919,action;adventure;drama;horror;josei;mystery;sci fi;person in a strange world;post-apocalyptic;psychological;survival;based on a manga,https://www.anime-planet.com/anime/7-seeds,2017-2023
Mashin Eiyuuden Wataru: Nana Tamashii no Ryuujinmaru,Web,9,Sunrise,2020,3.459,16,5920,action;adventure;fantasy;mecha;sci fi;person in a strange world,https://www.anime-planet.com/anime/mashin-eiyuuden-wataru-nana-tamashii-no-ryuujinmaru,2017-2023
Le Chevalier D'Eon,TV,24,Production I.G,2006,3.459,3181,5921,18th century;body sharing;europe;france;french revolution;historical;political;swordplay;based on a novel,https://www.anime-planet.com/anime/le-chevalier-d-eon,2002-2011
Ensemble Stars! Retrospective Special,TV Special,1,David Production,2019,3.459,74,5922,idols;music;recap;showbiz,https://www.anime-planet.com/anime/ensemble-stars-retrospective-special,2017-2023
Riding Bean,OVA,1,AIC,1989,3.459,1245,5923,action;seinen;america;cars;criminals;guns;kidnapping;noir;based on a manga,https://www.anime-planet.com/anime/riding-bean,1907-2001
Notari Matsutaro,OVA,10,"Big Bang, Mushi Production",1990,3.459,17,5925,seinen;sports;hand to hand combat;sumo wrestling;wrestling;based on a manga,https://www.anime-planet.com/anime/notari-matsutaro,1907-2001
Sore Ike! Anpanman: Tobe! Tobe! Chibigon,Movie,1,TMS Entertainment,1991,3.459,17,5925,comedy;fantasy;anthropomorphic;family friendly;food protagonists;non-human protagonists;superpowers,https://www.anime-planet.com/anime/sore-ike-anpanman-tobe-tobe-chibigon,1907-2001
Xia Lan,TV,156,Beijing Rocen,2012,3.459,17,5925,action;adventure;fantasy;chinese animation;cg animation,https://www.anime-planet.com/anime/xia-lan,2012-2016
Sylvanian Families: Mini Story,TV,12,Shogakukan Music & Digital Entertainment,2017,3.459,25,5928,slice of life;animal protagonists;anthropomorphic;family friendly;non-human protagonists;rabbits;short episodes,https://www.anime-planet.com/anime/sylvanian-families-mini-story,2017-2023
Doraemon (1979),TV,1787,Shin-Ei Animation,1979,3.459,2579,5929,comedy;shounen;cats;family friendly;non-human protagonists;robots;short episodes;based on a manga,https://www.anime-planet.com/anime/doraemon-1979,1907-2001
Wedding Peach Specials,DVD Special,2,,1995,3.459,88,5930,fantasy;magical girl;romance;shoujo;henshin heroes;magic;based on a manga,https://www.anime-planet.com/anime/wedding-peach-specials,1907-2001
